291,Quatro Pontes,QUATRO PONTES,,
292,Quedas do Iguaçu,QUEDAS DO IGUACU,,
293,Querência do Norte,QUERENCIA DO NORTE,,
294,Quinta do Sol,QUINTA DO SOL,,
295,Quitandinha,QUITANDINHA,1,0
296,Ramilândia,RAMILANDIA,,
297,Rancho Alegre,RANCHO ALEGRE,,
298,Rancho Alegre D'Oeste,RANCHO ALEGRE D'OESTE,,
299,Realeza,REALEZA,,
300,Rebouças,REBOUCAS,,
301,Renascença,RENASCENCA,,
302,Reserva,RESERVA,,
303,Reserva do Iguaçu,RESERVA DO IGUACU,,
304,Ribeirão Claro,RIBEIRAO CLARO,,
305,Ribeirão do Pinhal,RIBEIRAO DO PINHAL,,
306,Rio Azul,RIO AZUL,,
307,Rio Bom,RIO BOM,,
308,Rio Bonito do Iguaçu,RIO BONITO DO IGUACU,,
309,Rio Branco do Ivaí,RIO BRANCO DO IVAI,,
310,Rio Branco do Sul,RIO BRANCO DO SUL,2,0
311,Rio Negro,RIO NEGRO,2,0
312,Rolândia,ROLANDIA,1,0
313,Roncador,RONCADOR,,
314,Rondon,RONDON,,
315,Rosário do Ivaí,ROSARIO DO IVAI,,
316,Sabáudia,SABAUDIA,,
317,Salgado Filho,SALGADO FILHO,,
318,Salto do Itararé,SALTO DO ITARARE,,
319,Salto do Lontra,SALTO DO LONTRA,,
320,Santa Amélia,SANTA AMELIA,,
321,Santa Cecília do Pavão,SANTA CECILIA DO PAVAO,,
322,Santa Cruz de Monte Castelo,SANTA CRUZ DE MONTE CASTELO,,
323,Santa Fé,SANTA FE,6,1
324,Santa Helena,SANTA HELENA,,
325,Santa Inês,SANTA INES,,
326,Santa Isabel do Ivaí,SANTA ISABEL DO IVAI,,
327,Santa Izabel do Oeste,SANTA IZABEL DO OESTE,,
328,Santa Lúcia,SANTA LUCIA,,
329,Santa Maria do Oeste,SANTA MARIA DO OESTE,,
330,Santa Mariana,SANTA MARIANA,,
331,Santa Mônica,SANTA MONICA,,
332,Santa Tereza do Oeste,SANTA TEREZA DO OESTE,,
333,Santa Terezinha de Itaipu,SANTA TEREZINHA DE ITAIPU,,
334,Santana do Itararé,SANTANA DO ITARARE,,
335,Santo Antônio da Platina,SANTO ANTONIO DA PLATINA,,
336,Santo Antônio do Caiuá,SANTO ANTONIO DO CAIUA,,
337,Santo Antônio do Paraíso,SANTO ANTONIO DO PARAISO,,
338,Santo Antônio do Sudoeste,SANTO ANTONIO DO SUDOESTE,,
339,Santo Inácio,SANTO INACIO,,
340,Sapopema,SAPOPEMA,,
341,Sarandi,SARANDI,2,0
342,Saudade do Iguaçu,SAUDADE DO IGUACU,,
343,Sengés,SENGES,,
344,Serranópolis do Iguaçu,SERRANOPOLIS DO IGUACU,,
345,Sertaneja,SERTANEJA,1,0
346,Sertanópolis,SERTANOPOLIS,,
347,Siqueira Campos,SIQUEIRA CAMPOS,,
348,Sulina,SULINA,,
349,São Carlos do Ivaí,SAO CARLOS DO IVAI,,
350,São Jerônimo da Serra,SAO JERONIMO DA SERRA,,
351,São Jorge d'Oeste,SAO JORGE D'OESTE,,
352,São Jorge do Ivaí,SAO JORGE DO IVAI,,
353,São Jorge do Patrocínio,SAO JORGE DO PATROCINIO,,
354,São José da Boa Vista,SAO JOSE DA BOA VISTA,,
355,São José das Palmeiras,SAO JOSE DAS PALMEIRAS,,
356,São José dos Pinhais,SAO JOSE DOS PINHAIS,11,0
357,São João,SAO JOAO,,
358,São João do Caiuá,SAO JOAO DO CAIUA,,
359,São João do Ivaí,SAO JOAO DO IVAI,3,0
360,São João do Triunfo,SAO JOAO DO TRIUNFO,,
361,São Manoel do Paraná,SAO MANOEL DO PARANA,1,0
362,São Mateus do Sul,SAO MATEUS DO SUL,,
363,São Miguel do Iguaçu,SAO MIGUEL DO IGUACU,,
364,São Pedro do Iguaçu,SAO PEDRO DO IGUACU,,
365,São Pedro do Ivaí,SAO PEDRO DO IVAI,,
366,São Pedro do Paraná,SAO PEDRO DO PARANA,,
367,São Sebastião da Amoreira,SAO SEBASTIAO DA AMOREIRA,,
368,São Tomé,SAO TOME,,
369,Tamarana,TAMARANA,,
370,Tamboara,TAMBOARA,,
371,Tapejara,TAPEJARA,,
372,Tapira,TAPIRA,,
373,Teixeira Soares,TEIXEIRA SOARES,,
374,Telêmaco Borba,TELEMACO BORBA,6,0
375,Terra Boa,TERRA BOA,1,0
376,Terra Rica,TERRA RICA,1,0
377,Terra Roxa,TERRA ROXA,,
378,Tibagi,TIBAGI,,
379,Tijucas do Sul,TIJUCAS DO SUL,,
380,Toledo,TOLEDO,1,0
381,Tomazina,TOMAZINA,,
382,Três Barras do Paraná,TRES BARRAS DO PARANA,,
383,Tunas do Paraná,TUNAS DO PARANA,,
384,Tuneiras do Oeste,TUNEIRAS DO OESTE,,
385,Tupãssi,TUPASSI,,
386,Turvo,TURVO,,
387,Ubiratã,UBIRATA,,
388,Umuarama,UMUARAMA,2,0
389,Uniflor,UNIFLOR,,
390,União da Vitória,UNIAO DA VITORIA,2,0
391,Uraí,URAI,,
392,Ventania,VENTANIA,,
393,Vera Cruz do Oeste,VERA CRUZ DO OESTE,,
394,Verê,VERE,1,0
395,Virmond,VIRMOND,,
396,Vitorino,VITORINO,1,0
397,Wenceslau Braz,WENCESLAU BRAZ,,
398,Xambrê,XAMBRE,,
399,Ângulo,ANGULO,,
